,w,i,e,d,r,a,u,f,n,h,m, ,s,t,z,g,p,o,c,k,l,ã,¤,",",1,7,.,b,¼,j,ÿ,¶,"""",-,v,(,),x,?,4,3,6,q,!,y,9,8,­,¡,0,„,:,³,;,5,2,/,–,%,œ,â,º,©
w,0.012398222416228637,0.07649309155283947,0.13562867172295884,0.04265716035236415,0.06462232407558975,0.04162043857575041,0.03333878976373656,0.013804768920172423,0.08551438981951341,0.035024220488289896,0.021474084986934882,0.12882025911981715,0.04774982872871234,0.048428851178892104,0.00987007632939864,0.026348496147153865,0.007869385181547565,0.02399010567286881,0.023353522125825286,0.011597945957088206,0.02535421327367636,0.018388170458885796,0.005929321038176825,0.01063397658585087,0.0007942137586923968,0.0001151913085126377,0.005850505932352389,0.014841490696786162,0.005413991500093972,0.0010912860806460414,0.0038134385818131113,0.0020734435532274785,9.700320716853701e-05,0.0015884275173847935,0.007226738934056007,0.00024250801792134253,0.00027282152016151035,0.00030313502240167817,0.00013944211030477195,0.00014550481075280552,0.0001151913085126377,0.00016975561254493977,0.00014550481075280552,0.0003455739255379131,0.0002000691147851076,0.0009457812698932358,0.00013337940985673838,1.2125400896067126e-05,1.818810134410069e-05,0.0009336558689971687,0.00030313502240167817,0.00022431991657724184,3.0313502240167816e-05,0.0001151913085126377,0.00029100962150561103,0.0005577684412190878,0.00023644531747330896,7.881510582443631e-05,9.094050672050344e-05,7.881510582443631e-05,2.4250801792134253e-05,1.818810134410069e-05,1.2125400896067126e-05
i,0.011707121593771469,0.06746049919853446,0.13873368445156858,0.04133844744675979,0.06386535378978704,0.03853904282115869,0.03108541332722693,0.013447446759789329,0.09309022212044882,0.034016487291046484,0.021988779482482252,0.12240668651247996,0.05037210899931303,0.05289100068697046,0.009554614151591482,0.028131440348065032,0.007568124570643462,0.025303411953286007,0.032155942294481335,0.011707121593771469,0.02494275246164415,0.016905198076482712,0.0055988092512021985,0.010081291504465307,0.0007499427524616442,0.00010877032287611632,0.005455690405312572,0.014334783604305014,0.005112205175177467,0.0010361804442408976,0.003600870162583009,0.001957865811770094,9.159606136936111e-05,0.0014941607510877033,0.0073276849095488894,0.0002289901534234028,0.00025761392260132814,0.0002919624456148386,0.0001316693382184566,0.00013739409205404168,0.00010877032287611632,0.00016029310739638195,0.00013739409205404168,0.000326310968628349,0.00018319212273872223,0.0008930615983512709,0.00012594458438287153,1.1449507671170139e-05,1.717426150675521e-05,0.0008816120906801007,0.0002862376917792535,0.00021181589191664757,2.862376917792535e-05,0.00010877032287611632,0.00027478818410808336,0.0005266773528738264,0.00022326539958781772,7.44217998626059e-05,8.587130753377605e-05,7.44217998626059e-05,2.2899015342340278e-05,1.717426150675521e-05,1.1449507671170139e-05
e,0.011801598821464936,0.07593318746073355,0.11790225091531446,0.03972139777724821,0.08413310513659308,0.036287614549708615,0.03121818063649559,0.013215190970341645,0.10657184947680842,0.03386663489243701,0.021669663554236444,0.13211941333217792,0.05038020754349098,0.04574947464199831,0.009228969431746788,0.02635455707446002,0.007252106848068632,0.020602699365237547,0.021577590502393898,0.010837539808054767,0.025758790268420026,0.016161528629303062,0.005296908511882839,0.010496327910050044,0.0007095041053748998,0.00010290517558872592,0.005513550986806473,0.014520461881756538,0.004836543252670119,0.0010073875083948958,0.003406702918174137,0.0018522931605970668,8.665698996945341e-05,0.0014515045819883446,0.006607595485170823,0.00021664247492363353,0.00024372278428908773,0.0004657813210858121,0.0001299854849541801,0.0001299854849541801,0.00010290517558872592,0.00015164973244654348,0.00014623367057345262,0.00030871552676617776,0.00017331397993890682,0.0008449056522021707,0.00011915336120799844,1.0832123746181676e-05,1.6248185619272514e-05,0.0008340735284559891,0.00027080309365454193,0.00021664247492363353,2.708030936545419e-05,0.00010832123746181677,0.0002599709699083602,0.0004982776923243571,0.00022205853679672436,7.04088043501809e-05,8.124092809636257e-05,7.04088043501809e-05,2.1664247492363353e-05,1.6248185619272514e-05,1.0832123746181676e-05
d,0.012134122659385408,0.07804794802688103,0.14556827944966869,0.041410194546117905,0.06301858368543081,0.044334859416008565,0.03273035413748867,0.013405204373462638,0.08338531429849236,0.034001435851565905,0.02087869408123154,0.13027410641778572,0.04715360080972613,0.04718890863511716,0.009580189956100604,0.0255922887709346,0.007685336660115103,0.02270293172643497,0.022667623901043935,0.0112631962997399,0.02532159544293667,0.01729494980404157,0.005755175538738569,0.01069238645591818,0.0007708875210375793,0.00011180811373827486,0.005914060752998222,0.014417362034672284,0.005254981345698918,0.001059234761731025,0.0037014370284934152,0.0020125460472889475,9.415420104275778e-05,0.001547659679640331,0.007014487977685454,0.00023538550260689443,0.00027657796556310096,0.00029423187825861806,0.0001353466639989643,0.00014123130156413666,0.00011180811373827486,0.0001647698518248261,0.00014123130156413666,0.0003354243412148246,0.00018830840208551556,0.0009180034601668883,0.00012946202643379195,1.1769275130344722e-05,1.7653912695517083e-05,0.0009062341850365436,0.00029423187825861806,0.00021773158991137735,2.9423187825861803e-05,0.00011769275130344721,0.0002824626031282733,0.0005413866559958572,0.00022950086504172209,7.65002883472407e-05,8.826956347758541e-05,7.65002883472407e-05,2.3538550260689445e-05,1.7653912695517083e-05,1.1769275130344722e-05
r,0.012312957702656764,0.07138865041456122,0.13280363223609534,0.04370898321588873,0.06273443306809867,0.04322499236562052,0.03438639755238913,0.013978116699412874,0.08284886233341207,0.03407526057721671,0.0210305548033211,0.13953917156899462,0.047765287484803264,0.04890612306043548,0.009818100105440864,0.026152791301993005,0.007668950258416543,0.024360872796833317,0.02259776327085626,0.012209245377599291,0.025317330905696687,0.0186451713269992,0.005635036328122749,0.010699654868429392,0.000754795254584949,0.00010947412089400024,0.00561775094061317,0.015360947700179192,0.005145283682018011,0.0010428850464112654,0.0036241695811750608,0.001970534176092004,9.218873338442126e-05,0.001544161284189056,0.007012105533052542,0.00023047183346105315,0.0002592808126436848,0.00028808979182631643,0.00013252130424010555,0.00013828310007663188,0.00010947412089400024,0.00016133028342273719,0.00013828310007663188,0.0003629931377011587,0.00019013926260536885,0.0008988401504981073,0.00012675950840357922,1.1523591673052657e-05,1.7285387509578985e-05,0.0008873165588250546,0.00028808979182631643,0.0002189482417880005,2.8808979182631644e-05,0.00010947412089400024,0.00027656620015326376,0.0005300852169604222,0.00022471003762452682,7.490334587484227e-05,8.642693754789493e-05,7.490334587484227e-05,2.3047183346105315e-05,1.7285387509578985e-05,1.1523591673052657e-05
a,0.012084645599631976,0.06954126708895102,0.12820694292083937,0.041750710688040385,0.066627741014662,0.039639288958090046,0.03797020418273824,0.014485060806586693,0.08895101265673473,0.035268999846656525,0.02317255859490192,0.1257298559750876,0.04894016065678191,0.050219988912087,0.009760902131474338,0.02747207379359968,0.007791028226995529,0.02232327164207273,0.02426365641624497,0.01184283473111811,0.028728310744659518,0.01933897165504795,0.005768073887964896,0.010380173867912288,0.0007726152140321077,0.00011205869516496219,0.005620628236432051,0.016319284711655283,0.005266758672753223,0.001061608691036484,0.00370973259256638,0.0020170565129693195,9.436521698102079e-05,0.0015511282541255294,0.007089186925699187,0.000235913042452552,0.0002771978248817486,0.0003302782594335728,0.0001356499994102174,0.0001415478254715312,0.00011205869516496219,0.0001651391297167864,0.0001415478254715312,0.0003361760854948866,0.0002005260860846692,0.0009200608655649527,0.0001297521733489036,1.1795652122627599e-05,1.76934781839414e-05,0.0009082652134423251,0.00029489130306569,0.00023001521639123818,2.9489130306569e-05,0.00011205869516496219,0.0003302782594335728,0.0005425999976408696,0.00023001521639123818,7.667173879707939e-05,8.8467390919707e-05,7.667173879707939e-05,2.3591304245255198e-05,1.76934781839414e-05,1.1795652122627599e-05
u,0.012184978790651252,0.07001461484535593,0.12982260191775288,0.0418721260441297,0.06660448426230677,0.03978089613954207,0.03224177469374176,0.015624814343936028,0.09733130547403192,0.03442806050308338,0.023056997896888108,0.12871757702498782,0.04925084065065767,0.04880526609712337,0.00969570228490631,0.026181960765675312,0.007824289160062262,0.022498544456458453,0.024072907878946306,0.012054276921614525,0.02509475885505163,0.018244792718717696,0.0058102921780872376,0.010456149522938179,0.0007782702201732394,0.00011287888689535533,0.005685531303097634,0.014727724242820308,0.0053053076840817006,0.0010693789284823136,0.003736885255640974,0.002031819964116396,9.505590475398343e-05,0.0015981273986763465,0.007123251862501634,0.0002376397618849586,0.0002673447321205784,0.0003029906964033222,0.00013664286308385118,0.00014258385713097516,0.00011287888689535533,0.000166347833319471,0.00014258385713097516,0.000338636660686066,0.00019011180950796687,0.0009267950713513385,0.00013070186903672723,1.188198809424793e-05,1.7822982141371896e-05,0.0009149130832570906,0.00029704970235619823,0.00021981677974358669,2.9704970235619825e-05,0.0001188198809424793,0.00028516771426195033,0.0005465714523354047,0.00023169876783783462,7.723292261261155e-05,8.911491070685947e-05,7.723292261261155e-05,2.376397618849586e-05,1.7822982141371896e-05,1.188198809424793e-05
f,0.012398970788557591,0.07190555471469653,0.13310125624337824,0.042597245345845317,0.06603904949296201,0.041186620251248675,0.03312850007567731,0.01459663992734978,0.08543060390494929,0.03499318904192523,0.021540790071136674,0.13009838050552444,0.04774935674284849,0.049965188436506734,0.00989253821704253,0.026559709399122142,0.007864386257000151,0.0243317693355532,0.023320720448009688,0.01159376418949599,0.025536552141667928,0.02055395792341456,0.005920992886332677,0.010655365521416679,0.0007930982291509005,0.00011502951415165734,0.005775692447404268,0.014844861510519147,0.005406387165127894,0.001113970031784471,0.0038080823369153927,0.002070531254729832,9.686695928560618e-05,0.0016285757529892538,0.00721658846677766,0.00024216739821401545,0.0002724383229907674,0.0003027092477675193,0.00013924625397305888,0.00014530043892840925,0.00011502951415165734,0.0001695171787498108,0.00014530043892840925,0.000345088542454972,0.00019373391857121236,0.0009444528530346602,0.00013319206901770848,1.2108369910700773e-05,1.8162554866051156e-05,0.0009323444831239594,0.0003027092477675193,0.00022400484334796428,3.027092477675193e-05,0.00011502951415165734,0.0002906008778568185,0.0005569850158922355,0.00023611321325866505,7.870440441955501e-05,9.08127743302558e-05,7.870440441955501e-05,2.4216739821401545e-05,1.8162554866051156e-05,1.2108369910700773e-05
n,0.011768162121545963,0.06975587984384446,0.12976051253368587,0.04935509567634447,0.060349259617068635,0.039677293605193134,0.03177912238775614,0.01363818692338548,0.08198731094953193,0.033078535392055505,0.020129602323124468,0.1462743569318034,0.04769975650130224,0.04957543092489958,0.01018061840759761,0.03240623040287453,0.007338858663412485,0.0221973638864878,0.02186968582453405,0.011841607204397666,0.023739710626373565,0.016960164516985586,0.0055253300791512005,0.014090156664011344,0.0007401004502748541,0.00010734281339864296,0.007847324621616582,0.014067558176980051,0.005045112229736219,0.0010225815381660198,0.0035536120856708643,0.0019321706411755733,9.039394812517302e-05,0.001514098631096648,0.0069490347621226755,0.00022598487031293254,0.00027118184437551905,0.0002824810878911657,0.00021468562679728592,0.00013559092218775953,0.00010734281339864296,0.00015818940921905278,0.00014124054394558285,0.0004971667146884516,0.00018078789625034604,0.000881340994220437,0.0001242916786721129,1.1299243515646627e-05,1.694886527346994e-05,0.0008700417507047903,0.0002824810878911657,0.00027118184437551905,2.8248108789116568e-05,0.00015818940921905278,0.00027118184437551905,0.0005197652017197449,0.00022033524855510924,7.344508285170308e-05,8.47443263673497e-05,7.344508285170308e-05,2.2598487031293254e-05,1.694886527346994e-05,1.1299243515646627e-05
h,0.012337335111901587,0.07124944419742107,0.1370149696161257,0.04175485400918927,0.06650659552393656,0.043094708759448645,0.0327434415295687,0.013558618645323848,0.08433970653623833,0.03439158144360457,0.02175188972876834,0.13198755002223211,0.04723284422706388,0.05248554913294798,0.009705054098117682,0.025854453831332443,0.007707129094412331,0.022783459315251223,0.022836816362827923,0.011554765080776642,0.026097524825848525,0.018390395731436193,0.005798132503334816,0.010718838002074996,0.0007766414702830887,0.00011264265599525715,0.005715132651548836,0.014524974062546317,0.005294204831777086,0.0010789980732177264,0.0037290647695271974,0.0020275678079146285,9.485697346969023e-05,0.0015769971839336,0.007078701645175634,0.00023714243367422557,0.00026678523788350376,0.00029642804209278195,0.00014228546020453534,0.00014228546020453534,0.00011264265599525715,0.00016599970357195792,0.00014821402104639098,0.0003438565288276271,0.00020749962946494738,0.0009248554913294797,0.00013042833852082406,1.185712168371128e-05,1.7785682525566917e-05,0.0009129983696457685,0.00029642804209278195,0.00023714243367422557,2.9642804209278197e-05,0.00011264265599525715,0.0002845709204090707,0.0005454275974507188,0.00023121387283236994,7.707129094412332e-05,8.89284126278346e-05,7.707129094412332e-05,2.371424336742256e-05,1.7785682525566917e-05,1.185712168371128e-05
