,w,i,e,d,r,a,u,f,n,h,m, ,s,t,z,g,p,o,c,k,l,ã,¤,",",1,7,.,b,¼,j,ÿ,¶,"""",-,v,(,),x,?,4,3,6,q,!,y,9,8,­,¡,0,„,:,³,;,5,2,/,–,%,œ,â,º,©
w,0.0,0.4083129584352078,0.3095354523227384,0.0,0.0,0.10220048899755502,0.03667481662591687,0.0,0.0,0.0,0.0,0.0004889975550122249,0.0,0.0,0.0,0.0,0.0,0.08410757946210269,0.0,0.0,0.0,0.05085574572127139,0.0,0.0,0.0,0.0,0.006845965770171149,0.0,0.0,0.0,0.0,0.0,0.0,0.0004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.0,0.00016975046681378373,0.21184858258360212,0.015701918180274995,0.042182991003225256,0.006450517738923782,0.0005092514004413513,0.006111016805296215,0.18299100322525888,0.014004413512137158,0.025377694788660667,0.011458156509930402,0.0783398404345612,0.10617891699202173,0.0034798845696825667,0.04820913257511458,0.002037005601765405,0.05389577321337634,0.14980478696316415,0.011203530809709726,0.014853165846206077,0.002037005601765405,0.0,0.000594126633848243,0.0,0.0,0.00016975046681378373,0.004753013070785944,0.0,8.487523340689187e-05,0.0,0.0,0.0,0.0,0.007469020539806484,0.0,0.0,8.487523340689187e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,0.006164320544668323,0.10295335357438587,0.0014260741558561045,0.01370871285306836,0.22426166160640354,0.002024105253473181,0.01564081332229276,0.007498389916275646,0.2563253289171037,0.021897138651209864,0.021115097985095223,0.1447695280154568,0.06559941116938081,0.021115097985095223,0.0034961818014536757,0.023921243904683042,0.0018860980771000092,0.0008740454503634189,0.006072315760419542,0.004048210506946362,0.026405373079400128,0.002530131566841476,0.0,0.008464440150887846,0.0,0.0,0.0030821602723341613,0.01071855736498298,0.0,0.0002760143527463428,0.0,0.0,0.0,0.0003220167448707333,0.0012880669794829332,0.0,0.0,0.0016560861164780568,4.600239212439047e-05,0.0,0.0,0.0,0.0001380071763731714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001380071763731714,0.0,4.600239212439047e-05,0.0,0.0,9.200478424878094e-05,0.0,0.0,0.0,0.0,0.0,0.0
d,0.0024161455372370667,0.2104889141557703,0.4262364980102331,0.0001421262080727686,0.007106310403638431,0.12478681068789085,0.01961341671404207,0.0001421262080727686,0.00923820352472996,0.0001421262080727686,0.0008527572484366117,0.12663445139283683,0.0194712905059693,0.004405912450255827,0.0,0.00042637862421830583,0.0011370096645821489,0.010375213189312109,0.0,0.0001421262080727686,0.017197271176805,0.0014212620807276862,0.0,0.008953951108584423,0.0,0.0,0.007674815235929506,0.0002842524161455372,0.0,0.0,0.0,0.0,0.0,0.0002842524161455372,0.0,0.0,0.0002842524161455372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001421262080727686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r,0.008631203677643307,0.0570409982174688,0.12299465240641712,0.05159958720330237,0.021484191762829535,0.07936954686180693,0.051036682615629984,0.013978797260531006,0.025705976170372454,0.012852988085186227,0.010132282578103011,0.27873158832911155,0.03884041654939488,0.04690871563936579,0.0071301247771836,0.018106764236795195,0.0030959752321981426,0.04156112205647809,0.006567220189511211,0.01932639084341871,0.019889295431091098,0.028801951402570598,0.0,0.009663195421709354,0.0,0.0,0.002251618350689558,0.020452200018763488,0.0,9.381743127873159e-05,0.0,0.0,0.0,0.0006567220189511212,0.00234543578196829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005629045876723895,9.381743127873159e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.381743127873159e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.0006009615384615385,0.0013521634615384615,0.0,0.006460336538461538,0.09585336538461539,0.009765625,0.15234375,0.026893028846153848,0.14678485576923078,0.030498798076923076,0.05814302884615385,0.010667067307692308,0.0634014423076923,0.0791766826923077,0.004056490384615385,0.046875,0.003455528846153846,0.0,0.03936298076923077,0.014272836538461538,0.103515625,0.052584134615384616,0.0,0.0009014423076923077,0.0,0.0,0.00030048076923076925,0.047926682692307696,0.0,0.0,0.0,0.0,0.0,0.00030048076923076925,0.0015024038461538462,0.0,0.00030048076923076925,0.0009014423076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.00030048076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.00030048076923076925,0.0,0.0,0.001201923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u,0.0011061946902654867,0.0005530973451327434,0.02101769911504425,0.0022123893805309734,0.10176991150442478,0.007374631268436578,0.0005530973451327434,0.0650811209439528,0.4199852507374631,0.00331858407079646,0.0625,0.07724926253687316,0.07632743362831858,0.04185103244837758,0.0007374631268436578,0.011246312684365782,0.0035029498525073746,0.0003687315634218289,0.03687315634218289,0.021386430678466076,0.007743362831858407,0.026179941002949854,0.0,0.0011061946902654867,0.0,0.0,0.0011061946902654867,0.005715339233038348,0.0,0.0,0.0,0.0,0.0,0.0014749262536873156,0.0012905604719764012,0.0,0.0,0.00018436578171091445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018436578171091445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f,0.0013175230566534915,0.041721563460693896,0.10847606499780413,0.0,0.10935441370223979,0.06455862977602109,0.021080368906455864,0.05884936319718929,0.002635046113306983,0.0013175230566534915,0.007026789635485288,0.10628019323671498,0.004830917874396135,0.11638120333772507,0.002635046113306983,0.018006148440931048,0.0004391743522178305,0.10276679841897234,0.0,0.000878348704435661,0.015810276679841896,0.204655248133509,0.0,0.002635046113306983,0.0,0.0,0.0013175230566534915,0.001756697408871322,0.0,0.001756697408871322,0.0,0.0,0.0,0.003513394817742644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n,0.002694080113434952,0.04005671747607231,0.08720311946118398,0.12052463665366892,0.00163062743707905,0.026019142148174405,0.01425026586316909,0.009712867777383907,0.028855015951790144,0.005529953917050691,0.001488833746898263,0.3292449485997873,0.0401985111662531,0.05579581708613967,0.012336051045728465,0.09854661467564693,7.089684509039348e-05,0.01020914569301666,0.001347040056717476,0.012974122651542007,0.0014179369018078695,0.005175469691598724,0.0,0.05246366536689118,0.0,0.0,0.031052818149592345,0.002977667493796526,0.0,7.089684509039348e-05,0.0,0.0,0.0,0.0004962779156327543,0.002694080113434952,0.0,0.00021269053527118043,0.0,0.0010634526763559022,0.0,0.0,0.0,7.089684509039348e-05,0.002197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007798652959943283,0.0,0.0006380716058135413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,0.006231608101090531,0.04085165310714904,0.23766660896659167,0.0012117015752120478,0.09676302579193354,0.10611043794356932,0.017136922277998963,0.0017310022503029255,0.020945127228665397,0.004154405400727021,0.021983728578847152,0.17586982863077721,0.01575212047775662,0.14973169465120303,0.0015579020252726328,0.002596503375454388,0.00034620045006058506,0.010039813051756967,0.0,0.006231608101090531,0.038082049506664356,0.02994633893024061,0.0,0.009347412151635797,0.0,0.0,0.002250302925393803,0.00034620045006058506,0.0,0.00034620045006058506,0.0,0.0,0.0,0.0008655011251514627,0.00034620045006058506,0.0,0.0,0.0,0.00017310022503029253,0.0,0.0,0.0,0.00017310022503029253,0.00017310022503029253,0.0005193006750908776,0.0,0.0,0.0,0.0,0.0,0.0,0.0005193006750908776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
