,w,i,e,d,r,a,u,f,n,h,m, ,s,t,z,g,p,o,c,k,l,ã,¤,",",1,7,.,b,¼,j,ÿ,¶,"""",-,v,(,),x,?,4,3,6,q,!,y,9,8,­,¡,0,„,:,³,;,5,2,/,–,%,œ,â,º,©
"('w', 'i')",0.013312501733398666,0.05832077582301769,0.10512716212593258,0.0364152391165676,0.05525150459003967,0.034626371696142154,0.02893157928796606,0.01438489770636689,0.06910482670635763,0.030563285229594436,0.020232229196904844,0.10207175808226017,0.04049681516885614,0.04078340374783904,0.011384962419916983,0.02394863593081197,0.009859571596298387,0.021355471530660357,0.022238349249785058,0.012702345403951227,0.023259898861966,0.01739870018212242,0.008380404737031867,0.011967384370753176,0.004465234956410802,0.0039475265556675205,0.008255600033281255,0.015175327496787435,0.007987501040039199,0.004691732381735988,0.006767188381144321,0.005440560604239662,0.0039336593663618965,0.005066146492987825,0.009369597574166352,0.004044596880806886,0.004067708862982925,0.004090820845158965,0.003966016141408352,0.00397063853784356,0.0039475265556675205,0.003989128123584391,0.00397063853784356,0.00412317762020542,0.004007617709325223,0.004580794867290999,0.003961393744973144,0.003868945816268987,0.0038735682127041945,0.004571550074420582,0.004090820845158965,0.004030729691501262,0.003882813005574611,0.0039475265556675205,0.0040815760522885484,0.0042849614954376955,0.004039974484371678,0.003919792177056273,0.003929036969926689,0.003919792177056273,0.0038781906091394022,0.0038735682127041945,0.003868945816268987
"('i', 'e')",0.014074423044736892,0.04425648241704428,0.0751142132766348,0.029965100637858684,0.04152590177348269,0.02836890423441462,0.024547331097625236,0.014824480383830997,0.0519058275116073,0.025731305905616755,0.01872973760390774,0.0775162564080312,0.03316679167622318,0.032596500145672294,0.012781968869521017,0.021327043596307986,0.01176846163859634,0.019467397301033345,0.019684356035482055,0.013665300859776472,0.021150377198256895,0.016935178928967714,0.010767352049640161,0.01323448280137118,0.008142151362810794,0.007795017387692863,0.010686767376844925,0.015435064250779505,0.010503902157809586,0.008312618939877637,0.009685657787888746,0.008796126976649042,0.007785719156216489,0.008545074726786967,0.01143682471593903,0.007860105008027475,0.007875602060488096,0.007891099112948718,0.007807415029661359,0.007810514440153484,0.007795017387692863,0.007822912082121982,0.007810514440153484,0.007912794986393589,0.007835309724090479,0.008219636625113904,0.007804315619169236,0.007742327409326747,0.007745426819818872,0.008213437804129656,0.007891099112948718,0.007850806776551101,0.0077516256408031205,0.007795017387692863,0.00788490029196447,0.008021274353617942,0.00785700559753535,0.007776420924740116,0.007782619745724364,0.007776420924740116,0.007748526230310996,0.007745426819818872,0.007742327409326747
"('e', 'd')",0.012875748749793922,0.06652744957960104,0.12189921415617959,0.040303346705500905,0.0602297081936583,0.03832499862614717,0.031461229873055996,0.014150684178710777,0.07917239105347033,0.03338462383909435,0.021102379513106555,0.11841512337198438,0.0451832719679068,0.04560641864043524,0.010584162224542507,0.02552069022366324,0.008770676485134913,0.022531186459306476,0.022805957025883387,0.012155849865362424,0.024679892289937902,0.017744683189536738,0.0070121448590426995,0.011276584052316317,0.0023575314612298733,0.0017420453920975983,0.0068637687530911685,0.015090399516403804,0.006545034895861955,0.002626806616475243,0.00509424630433588,0.0035170632521844256,0.0017255591581029838,0.0030774303456613727,0.008188162883991866,0.0018574490300598998,0.0018849260867175909,0.0019124031433752817,0.0017640270374237512,0.0017695224487552894,0.0017420453920975983,0.0017915040940814418,0.0017695224487552894,0.0019508710226960489,0.0018134857394075947,0.002494916744518327,0.0017585316260922128,0.0016486233994614497,0.0016541188107929879,0.0024839259218552507,0.0019124031433752817,0.0018409627960652853,0.0016651096334560642,0.0017420453920975983,0.0019014123207122054,0.0021432104192998847,0.0018519536187283619,0.0017090729241083693,0.0017200637467714459,0.0017090729241083693,0.001659614222124526,0.0016541188107929879,0.0016486233994614497
"('d', 'e')",0.014215097764024867,0.0416617347830253,0.06971992537355495,0.02828082990919697,0.042543837400023675,0.027209906604214927,0.023923862989454224,0.01488301572002683,0.050668763421769056,0.02473551012586167,0.018786249344764028,0.06875045796062385,0.03126532406702852,0.031048321186808475,0.013065264320780983,0.02069982019761353,0.012118342661638963,0.019118799213153192,0.019318892778031418,0.013843092826504788,0.0202629962179498,0.016706403557719948,0.011208057852404222,0.013456996792866523,0.00882102616998371,0.00850538561693637,0.011165784564049668,0.015404386276399666,0.01096850921839508,0.008959118911941922,0.01022449934335492,0.00941567042617111,0.008496930959265458,0.009198667545951063,0.011811156766262534,0.008564568220632746,0.008578659316750932,0.008604023289763663,0.008519476713054554,0.008519476713054554,0.00850538561693637,0.008530749589949102,0.008519476713054554,0.008612477947434576,0.00854202246684365,0.008891481650574634,0.008513840274607281,0.008457475890134541,0.008460294109358179,0.00888584521212736,0.008592750412869115,0.008556113562961836,0.008465930547805452,0.00850538561693637,0.008587113974421842,0.008711115620261868,0.008561750001409109,0.008488476301594548,0.008494112740041823,0.008488476301594548,0.008463112328581816,0.008460294109358179,0.008457475890134541
"('e', 'r')",0.014752641619884687,0.03562870342684113,0.05689642828565291,0.02543493550193936,0.033150276480423166,0.024514737901612554,0.022272151072440818,0.015211687562381816,0.04046342583038884,0.022676448416291496,0.017774343122102007,0.05896424074222253,0.027456422221192756,0.027509065104506646,0.013781906851576547,0.019578941162102174,0.01302595504718908,0.018256551933257245,0.018376577707212915,0.014518907217971014,0.019229392416897945,0.016517231068566302,0.012324751841448057,0.014055649844808778,0.010541210954773447,0.010305370837527215,0.012284743250129501,0.015609667760234829,0.012145766038180829,0.010644391006068671,0.011589857190386146,0.010985516889942681,0.010299053691529548,0.010819165378670788,0.01282801780592885,0.010349590859510883,0.010360119436173662,0.01037064801283644,0.010313793698857439,0.010315899414189995,0.010305370837527215,0.010324322275520216,0.010315899414189995,0.01038538802016433,0.01033274513685044,0.010593853838087336,0.010311687983524881,0.010269573676873771,0.010271679392206325,0.010589642407422224,0.01037064801283644,0.010343273713513217,0.010275890822871437,0.010305370837527215,0.010366436582171328,0.010459088056803777,0.010347485144178329,0.010292736545531882,0.010296947976196994,0.010292736545531882,0.010273785107538881,0.010271679392206325,0.010269573676873771
"('r', 'a')",0.013320002580145778,0.05818228729923241,0.10405359331373652,0.03640309248901134,0.05310032159674165,0.03456473862201786,0.029782254125929542,0.0144211719390717,0.06950728430442034,0.030574727472102176,0.02058126998461127,0.1017959657577796,0.040254881543664356,0.041079606712064946,0.011398715455994692,0.0244146294265626,0.009892094617631611,0.021336884105380524,0.021871342873729507,0.012988269551515375,0.02325356382635619,0.017521954276130885,0.008403903391970217,0.011979248256097898,0.004501432902387557,0.003985403746740262,0.008279503506233818,0.015232074897946021,0.008012274122059324,0.004727195657983248,0.006795919683747846,0.005473594972401656,0.003971581537213996,0.005100395315192452,0.009394495074686005,0.00408215921342413,0.004105196229301241,0.004132840648353775,0.004003833359441952,0.004008440762617374,0.003985403746740262,0.004026870375319062,0.004008440762617374,0.004160485067406309,0.004049907391196175,0.004616617981773113,0.003999225956266529,0.003907077892758085,0.003911685295933506,0.004607403175422268,0.004128233245178353,0.004068337003897863,0.003920900102284351,0.003985403746740262,0.0041190184388275085,0.004321744178546088,0.004077551810248708,0.0039577593276877284,0.0039669741340385735,0.0039577593276877284,0.003916292699108928,0.003911685295933506,0.003907077892758085
"('a', 'u')",0.013428799704996624,0.05617356032204537,0.100046533271289,0.035338946592096375,0.051248057455420264,0.03367077271569928,0.028266767342423428,0.015873991413294472,0.0663757605555897,0.029812023143717576,0.020167344179390156,0.09813691317593969,0.040325908496272954,0.039570840320640586,0.011598198372213493,0.02355198117597479,0.010215370027305375,0.02106728008639385,0.02206818441223211,0.012849328779511315,0.02281008279410345,0.01735778817703715,0.008744743057323725,0.012151329710176741,0.005026471285459671,0.004534798985047895,0.008626214913474458,0.01526379096903343,0.008371598900761217,0.005241577916889823,0.007212657049790601,0.005952746779985427,0.004521629191286866,0.005597162348437625,0.009684188345610509,0.004626987541375103,0.004648937197643486,0.004670886853911869,0.004552358710062602,0.004556748641316278,0.004534798985047895,0.004574308366330984,0.004556748641316278,0.004701616372687605,0.004591868091345691,0.005136219566801585,0.004547968778808925,0.004460170153735394,0.00446456008498907,0.005127439704294232,0.004670886853911869,0.004613817747614073,0.004473339947496424,0.0045391889163015715,0.004662106991404516,0.004855263966566285,0.0046225976101214265,0.004508459397525835,0.004517239260033189,0.004508459397525835,0.004468950016242747,0.00446456008498907,0.004460170153735394
"('u', 'f')",0.012944094021241038,0.06545905439646342,0.11916006253706402,0.0398350315380883,0.05939403741441587,0.0377864035797078,0.03114992721979622,0.014227182058331986,0.07796646719499703,0.03305838589681385,0.021084694592700414,0.11759124481104105,0.04439053318238179,0.04501590382230848,0.010712167771847539,0.025548547091487413,0.008906140492748935,0.022313871367728718,0.02266968569734218,0.01222707423580786,0.024454148471615724,0.01772602296619764,0.0071755889805380346,0.0113860585476306,0.0026093050838320126,0.00200549894873039,0.007040810825381423,0.015122109008571893,0.006717343253005552,0.0028734702679389726,0.005294085934551728,0.00374683271335382,0.0019893255701115965,0.0033101514906463962,0.008329289988678636,0.002118712599061944,0.0021456682300932664,0.002172623861124589,0.002027063453555448,0.002032454579761712,0.00200549894873039,0.00205401908458677,0.002032454579761712,0.0022103617445684404,0.002075583589411828,0.002744083238988625,0.0020216723273491833,0.0019138498032238937,0.001919240929430158,0.002733300986576096,0.002172623861124589,0.0021025392204431508,0.001930023181842687,0.00200549894873039,0.00216184160871206,0.0023990511617876975,0.0021133214728556796,0.0019731521914928027,0.001983934443905332,0.0019731521914928027,0.0019246320556364225,0.001919240929430158,0.0019138498032238937
"('f', 'n')",0.012561090628483238,0.0722002425252018,0.13317450790656657,0.043127840178341766,0.06531644639335628,0.040818951262233436,0.03326147401428204,0.013981945346088364,0.0864210384488186,0.03541725358582085,0.02172927818130596,0.13016131600543845,0.04827231415587756,0.048958244019549,0.010007226761063682,0.026653274702661652,0.007986183412746047,0.023217501010521672,0.023627834053967983,0.011752673289156183,0.02564887740228562,0.017975037052461385,0.0060263838022562195,0.01077889785769405,0.0008390392082409574,0.00015310934456951776,0.0058610257101211405,0.015029213262943866,0.005505812030719859,0.0011391335235972123,0.0038889773520657516,0.0021312820764076874,0.00013473622322117564,0.00163520780000245,0.007336999791771292,0.0002817211940079127,0.0003123430629218163,0.00034296493183571977,0.0001776068397006406,0.00018373121348342134,0.00015310934456951776,0.00020822870861454416,0.00018373121348342134,0.0003858355483151848,0.000232726203745667,0.0009921485528104751,0.00017148246591785989,4.899499026224569e-05,5.51193640450264e-05,0.0009798998052449137,0.00034296493183571977,0.0002633480726595706,6.736811161058782e-05,0.00015310934456951776,0.00033071618427015843,0.0006001886307125097,0.00027559682022513203,0.0001163631018728335,0.00012861184943839494,0.0001163631018728335,6.124373782780711e-05,5.51193640450264e-05,4.899499026224569e-05
"('n', 'a')",0.012940886118056077,0.06518193426544912,0.11859796336634726,0.039724013606172136,0.059215820930756606,0.03767986865966328,0.031171869131801744,0.014185614799394805,0.07780627300333715,0.03320528365864389,0.021069179015591296,0.11596364533816918,0.04422542465635831,0.045062397390361934,0.010703593617546383,0.025291599154442925,0.008938439582372068,0.022276351228096528,0.023150880430933652,0.012238043629886366,0.02493213009560804,0.017683731610743294,0.007216207225864604,0.011379610056549312,0.002671874497011578,0.002070970995675641,0.007071346560363976,0.015113796100565494,0.0067601643900292935,0.0029347697788460504,0.005343748994023156,0.003803933771849817,0.002054875366175571,0.003369351775347934,0.008364362130202911,0.002183640402176129,0.0022104664513429117,0.002237292500509695,0.002092431835009067,0.0020977970448424234,0.002070970995675641,0.00211925788417585,0.0020977970448424234,0.0022748489693431907,0.0021407187235092766,0.0028060047428454925,0.0020870666251757105,0.0019797624285085792,0.0019851276383419355,0.0027952743231787797,0.002237292500509695,0.0021675447726760594,0.0019958580580086488,0.002070970995675641,0.0022265620808429817,0.0024626313135106717,0.0021782751923427723,0.002038779736675501,0.0020495101563422144,0.002038779736675501,0.001990492848175292,0.0019851276383419355,0.0019797624285085792
