,w,i,e,d,r,a,u,f,n,h,m, ,s,t,z,g,p,o,c,k,l,ã,¤,",",1,7,.,b,¼,j,ÿ,¶,"""",-,v,(,),x,?,4,3,6,q,!,y,9,8,­,¡,0,„,:,³,;,5,2,/,–,%,œ,â,º,©
"('w', 'i')",0.0,0.0,0.20359281437125748,0.008383233532934131,0.5497005988023952,0.0,0.0,0.0,0.011976047904191617,0.0,0.0,0.0,0.059880239520958084,0.0,0.0,0.0,0.0,0.0,0.14850299401197606,0.0,0.017964071856287425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('i', 'e')",0.0,0.00040064102564102563,0.00040064102564102563,0.05448717948717949,0.09735576923076923,0.00040064102564102563,0.0,0.004006410256410256,0.058493589743589744,0.011618589743589744,0.002003205128205128,0.5076121794871795,0.13181089743589744,0.013221153846153846,0.0,0.015625,0.001201923076923077,0.0,0.001201923076923077,0.0,0.058493589743589744,0.015625,0.0,0.008012820512820512,0.0,0.0,0.00040064102564102563,0.014423076923076924,0.0,0.002403846153846154,0.0,0.0,0.0,0.0,0.0008012820512820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('e', 'd')",0.0,0.087248322147651,0.4899328859060403,0.0,0.010067114093959731,0.06711409395973154,0.010067114093959731,0.0,0.013422818791946308,0.0,0.0,0.010067114093959731,0.1610738255033557,0.0436241610738255,0.0,0.0,0.0,0.05704697986577181,0.0,0.003355704697986577,0.03691275167785235,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003355704697986577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('d', 'e')",0.0,0.0006668889629876625,0.0006668889629876625,0.0,0.4794931643881294,0.0,0.022007335778592863,0.0016672224074691564,0.2917639213071024,0.00033344448149383126,0.04168056018672891,0.04968322774258086,0.07302434144714905,0.010003334444814937,0.0030010003334444814,0.0,0.0010003334444814939,0.0,0.001333777925975325,0.0,0.0030010003334444814,0.0,0.0,0.007335778592864288,0.0,0.0,0.0040013337779259755,0.006335445148382794,0.0,0.0,0.0,0.0,0.0,0.001333777925975325,0.0,0.0,0.0,0.001333777925975325,0.00033344448149383126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('e', 'r')",0.01764102564102564,0.05394871794871795,0.08348717948717949,0.03446153846153846,0.04287179487179487,0.02276923076923077,0.057025641025641026,0.014769230769230769,0.04841025641025641,0.024,0.004923076923076923,0.38564102564102565,0.059076923076923075,0.04123076923076923,0.008615384615384615,0.015794871794871795,0.0026666666666666666,0.0020512820512820513,0.0,0.021948717948717947,0.015384615384615385,0.008205128205128205,0.0,0.009435897435897437,0.0,0.0,0.001641025641025641,0.018461538461538463,0.0,0.0,0.0,0.0,0.0,0.00041025641025641023,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('r', 'a')",0.0,0.0,0.0,0.022458628841607566,0.02364066193853428,0.0,0.2293144208037825,0.008274231678486997,0.1595744680851064,0.015366430260047281,0.0933806146572104,0.001182033096926714,0.01773049645390071,0.09692671394799054,0.0,0.12647754137115838,0.0035460992907801418,0.0,0.057919621749408984,0.07092198581560284,0.022458628841607566,0.03309692671394799,0.0,0.0,0.0,0.0,0.0,0.014184397163120567,0.0,0.0,0.0,0.0,0.0,0.0,0.001182033096926714,0.0,0.0,0.001182033096926714,0.0,0.0,0.0,0.0,0.0,0.0,0.001182033096926714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('a', 'u')",0.0,0.0,0.03747534516765286,0.0,0.0009861932938856016,0.0,0.0009861932938856016,0.32051282051282054,0.0009861932938856016,0.0,0.03747534516765286,0.09270216962524655,0.29191321499013806,0.011834319526627219,0.0,0.004930966469428008,0.014792899408284023,0.0,0.15877712031558186,0.0,0.0,0.010848126232741617,0.0,0.0,0.0,0.0,0.0,0.014792899408284023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009861932938856016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('u', 'f')",0.0084985835694051,0.019830028328611898,0.0339943342776204,0.0,0.014164305949008499,0.0,0.0028328611898017,0.025495750708215296,0.0113314447592068,0.0056657223796034,0.0453257790368272,0.6005665722379604,0.014164305949008499,0.025495750708215296,0.0169971671388102,0.11331444759206799,0.0028328611898017,0.0028328611898017,0.0,0.0056657223796034,0.0028328611898017,0.0169971671388102,0.0,0.014164305949008499,0.0,0.0,0.0056657223796034,0.0113314447592068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('f', 'n')",0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('n', 'a')",0.0,0.0,0.0,0.0027247956403269754,0.02997275204359673,0.0,0.051771117166212535,0.0,0.08174386920980926,0.1226158038147139,0.04904632152588556,0.0,0.0,0.11989100817438691,0.0,0.0027247956403269754,0.0027247956403269754,0.0,0.2615803814713896,0.0027247956403269754,0.2670299727520436,0.0,0.0,0.0,0.0,0.0,0.0,0.005449591280653951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('a', 'h')",0.0,0.009852216748768473,0.06896551724137931,0.0,0.4876847290640394,0.0,0.0,0.0,0.029556650246305417,0.0,0.270935960591133,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11822660098522167,0.0,0.0,0.009852216748768473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
