,r,e,a,n,u,d,c,i,ã,³, ,l,p,­,o,s,m,t,",",v,1,7,b,y,±,q,h,.,g,"""",f,2,0,¡,x,z,(,),k,â,¿,©,?,4,3,j,6,-,º,9,8,:,;,5,¤,/,w,%,!,[,],‰,¼,š
r,0.05388811949470426,0.11696598280917965,0.09258148258209935,0.05389372641588777,0.029447550055788866,0.03879989458988175,0.03432557148544163,0.05331621353398635,0.019444802664408945,0.006711484656660181,0.1532988320783175,0.039545615107288434,0.023425716704700283,0.0038351340895201036,0.0731422868388739,0.06219196976748098,0.02422750643394206,0.03790278720052032,0.010013961233746937,0.005803163424931736,0.0007513274385901957,0.00010653150248666954,0.008713155519172866,0.0063470347797321015,0.001687683276236186,0.007535702070635993,0.005186402094745754,0.006212468671327887,0.008472057908281982,7.2889975385616e-05,0.005791949582564718,0.000515836748882821,0.0008915004681779188,0.0024670453207439264,0.0014129441382442487,0.0020353123896137393,0.00025231145325790155,0.000291559901542464,0.0001962422414228123,0.00013456610840421415,0.0001233522660371963,0.0018558909117414536,0.0001233522660371963,0.00013456610840421415,0.00010653150248666954,0.0021418438921004088,0.00016260071432175878,0.0007849689656912492,0.0006167613301859816,0.0008971073893614277,0.0001682076355052677,0.00022988376852386586,0.00015699379313824987,0.00025231145325790155,2.2427684734035694e-05,0.00020184916260632124,5.606921183508923e-05,7.849689656912493e-05,5.6069211835089236e-06,5.6069211835089236e-06,5.6069211835089236e-06,1.682076355052677e-05,1.1213842367017847e-05,5.6069211835089236e-06
e,0.058149559368214906,0.1010047256162459,0.08000553450551322,0.06764336497935204,0.027613989527012644,0.03760270765038955,0.036394695389331176,0.046000255438716,0.01760398484396952,0.006370002980118353,0.16506662693175528,0.0441323598280046,0.022638256205032143,0.0036400017029247734,0.06405125803567627,0.07620588360509174,0.024564689854825662,0.03553258972284899,0.010371876197368981,0.0059974881859593855,0.0007130997488185959,0.00010111115841457703,0.009158542296394057,0.006018774745625612,0.0016018136148835626,0.00721082208693431,0.004933160202648048,0.005827195708629571,0.01006854272212525,6.385967899868024e-05,0.0062103537826216524,0.0004895908723232151,0.0008461407467325131,0.0023415215632849417,0.002426667801949849,0.002102047767039891,0.00023947379624505088,0.0002926901954106177,0.00018093575716292731,0.00012771935799736048,0.00011707607816424709,0.0017614628123802632,0.00013304099791391715,0.00012771935799736048,0.00010111115841457703,0.002660819958278343,0.0001543275575801439,0.0007876027076503896,0.0005853803908212354,0.0008514623866490697,0.0001596491974967006,0.00021818723657882413,0.00016497083741325727,0.00023947379624505088,2.1286559666226746e-05,0.0001969006769125974,5.321639916556686e-05,7.450295883179361e-05,5.3216399165566865e-06,5.3216399165566865e-06,5.3216399165566865e-06,1.596491974967006e-05,1.0643279833113373e-05,5.3216399165566865e-06
a,0.060031458007913485,0.10329982529376228,0.08048460571360151,0.05805036546803311,0.027969325721003392,0.04308332018047535,0.037390400409280655,0.04696930939331762,0.01745973864817647,0.006514746621529686,0.16569879773807125,0.04319761398085307,0.023751340230873476,0.003722712355159821,0.06461953770879028,0.06982262690693763,0.025993675743045768,0.036726407854705365,0.010558570130131655,0.005731017704653935,0.000729303297648269,0.00010340867653221725,0.010128607738234542,0.006928381327658556,0.001638211138747231,0.007233164795332459,0.005197646636224604,0.006509304059606938,0.008065876769512944,7.075330499572759e-05,0.0057419028284994315,0.0005007156968928414,0.0008653673457169759,0.0023947272460092413,0.0013715256045325657,0.002193352454867555,0.0002449152865236724,0.0002938983438284069,0.00020137479114168622,0.00013062148614595862,0.00011973636230046207,0.0018014879964296793,0.0001360640480687069,0.00013062148614595862,0.00010340867653221725,0.0024491528652367243,0.0001578342957597,0.0007891714787985001,0.0005986818115023103,0.0008708099076397242,0.00016327685768244827,0.00021770247690993104,0.0001578342957597,0.0002884557819056586,2.1770247690993106e-05,0.00019593222921893795,5.442561922748276e-05,7.619586691847586e-05,5.4425619227482765e-06,5.4425619227482765e-06,5.4425619227482765e-06,1.6327685768244828e-05,1.0885123845496553e-05,5.4425619227482765e-06
n,0.05267580543059936,0.1101581450587372,0.08706661363419922,0.05360574095133524,0.029001663800299147,0.04092276493358804,0.036934125832600403,0.05063106768922227,0.017674376915191,0.006705619387475001,0.16222333017752805,0.03870996655593338,0.02332681631532657,0.003831782507128572,0.07003646915807223,0.06372299125524489,0.022777818236819843,0.046003798170379875,0.010274106897768715,0.005719663654646596,0.0007506708420398079,0.00010643840297579367,0.008660724789504052,0.006335885987664349,0.0016862083839849417,0.007428280123468548,0.00519307366097688,0.006212641521060798,0.008290991389693402,7.282627572027988e-05,0.006806455769241542,0.0005153859512512114,0.0008907213722711154,0.0024648893320710114,0.0014117093447315791,0.0020559417837955935,0.0002520909544163534,0.00029130510288111953,0.00020727478474233505,0.00014005053023130744,0.00012324446660355056,0.0018542690202625106,0.00014005053023130744,0.00013444850902205515,0.00010643840297579367,0.0021679822079806394,0.00016245861506831665,0.0008066910541323309,0.0006162223330177528,0.0008963233934803677,0.00016806063627756895,0.00022968286957934423,0.00015685659385906436,0.0002520909544163534,2.2408084837009193e-05,0.00020167276353308272,5.602021209252298e-05,7.842829692953218e-05,5.602021209252298e-06,5.602021209252298e-06,5.602021209252298e-06,1.6806063627756894e-05,1.1204042418504596e-05,5.602021209252298e-06
u,0.056989636680289,0.1187787031768202,0.08615407606665172,0.060179676857551774,0.028917283120376596,0.03945303743555257,0.03595261497077233,0.0509141907931417,0.01799642485587341,0.006880140706637008,0.1507595744313969,0.040677323125204765,0.0244914616131832,0.003931508975221147,0.0682438685128665,0.06444455940084723,0.023583306031187672,0.03745854384724593,0.00980578115749602,0.00568459411768087,0.0007702078986544353,0.00010920858264503187,0.009167773122043464,0.007035331850395737,0.0017300938619028733,0.007495157461532714,0.005316733628771288,0.005914506923249358,0.008368826122692968,7.472166180975865e-05,0.006000724225337541,0.0005287994528075227,0.0009139034021347404,0.0025290408612533696,0.0014541984952206875,0.002023232689002696,0.0002586519062645492,0.00028739100696061016,0.00019542588473321493,0.00013794768334109288,0.0001264520430626685,0.0019025284660792393,0.0001264520430626685,0.00013794768334109288,0.00010920858264503187,0.0022473976744319716,0.00016668678403715392,0.0007989469993504964,0.0006322602153133424,0.0009196512222739526,0.00017243460417636612,0.00020692152501163933,0.00016668678403715392,0.0002586519062645492,2.2991280556848814e-05,0.00020692152501163933,5.7478201392122035e-05,8.046948194897085e-05,5.7478201392122035e-06,5.7478201392122035e-06,5.7478201392122035e-06,1.724346041763661e-05,1.1495640278424407e-05,5.7478201392122035e-06
d,0.053777332589666826,0.12739462511240368,0.08960991656517137,0.054397687045405395,0.029247720624224555,0.038461976255790925,0.03416502566787702,0.05234880994388353,0.017796774156830158,0.006812516362560186,0.14991519925329813,0.039309983722809694,0.023698678474269517,0.003892866492891535,0.07473848360329187,0.06262165207790286,0.022941732211762832,0.03653830831047317,0.009840301412586934,0.00559457275221108,0.0007626375877886924,0.00010813518035809819,0.008798788885979989,0.0064368888939478446,0.0017130889098835554,0.007449944794144765,0.00527585853641879,0.005987274196669437,0.008024768647627287,6.829590338406201e-05,0.005850682389901312,0.0005236019259444754,0.0009049207198388217,0.0025041831240822736,0.0014342139710653023,0.001935050595881757,0.00025610963769023257,0.00029594891466426873,0.00019919638487018087,0.00013659180676812402,0.00012520915620411368,0.0018838286683437106,0.00012520915620411368,0.00013659180676812402,0.00010813518035809819,0.002134246980751938,0.00016504843317814987,0.0007967855394807235,0.0006260457810205684,0.0009106120451208269,0.00017073975846015503,0.00021057903543419122,0.00016504843317814987,0.00025610963769023257,2.276530112802067e-05,0.00020488771015218603,5.691325282005168e-05,7.967855394807235e-05,5.691325282005168e-06,5.691325282005168e-06,5.691325282005168e-06,1.7073975846015503e-05,1.1382650564010336e-05,5.691325282005168e-06
c,0.054574969134391145,0.11111619186977,0.0891444510494307,0.05471214961818099,0.031408614934382004,0.038622022040331064,0.0346152087429695,0.0588047007179112,0.018004938497416433,0.006841876629018245,0.1492295029493804,0.040142439069001785,0.023800813937537153,0.003909643788010426,0.07678677580136266,0.06288582011065892,0.022960583474324385,0.03897640495678815,0.009728382642096118,0.005595820567927203,0.0007659243678266039,0.00010860121633362293,0.008830993643970917,0.006464630298596187,0.001720471900864237,0.0074534729525812795,0.006356029082262563,0.005898760802963098,0.00805935342265307,6.859024189491975e-05,0.005875897388998125,0.0005258585211943848,0.0009088207051076867,0.0025149755361470573,0.0014403950797933147,0.0019433901870227262,0.00026864511408843567,0.00029150852805340894,0.00021720243266724586,0.0001371804837898395,0.00012574877680735286,0.0018919475056015365,0.00012574877680735286,0.0001371804837898395,0.00010860121633362293,0.0021377292057249988,0.00016575975124605606,0.0007945036352828204,0.0006287438840367643,0.00091453655859893,0.00017147560473729936,0.00020577072568475925,0.00016004389775481275,0.00030294023503589555,2.286341396497325e-05,0.00020577072568475925,5.7158534912433125e-05,8.002194887740637e-05,5.7158534912433125e-06,5.7158534912433125e-06,5.7158534912433125e-06,1.7147560473729937e-05,1.1431706982486625e-05,5.7158534912433125e-06
i,0.0543260350497815,0.1108426814434383,0.08696558093436049,0.05848200207235212,0.028494841645267378,0.04269157994323557,0.03836103978015047,0.04859327837095103,0.023539217011307834,0.00674077578051088,0.1478352930576204,0.03962810289678786,0.023860206334189307,0.0038518718745776457,0.07134973194575843,0.06565639500833446,0.02464296977068973,0.0380456818488985,0.009624048294814615,0.0071462359778348425,0.0007546064783529306,0.00010699644096049016,0.009410055412893635,0.006369103932963914,0.0016950488804793442,0.00739401720953282,0.00520903725728702,0.005805964770013966,0.008959544082533676,6.757669955399378e-05,0.006560571248366897,0.0005180880299139524,0.0008953912690904176,0.002477812316979772,0.0014191106906338694,0.002601702932828761,0.00025341262332747666,0.0002815695814749741,0.0002196242735504798,0.00013515339910798757,0.0001238906158489886,0.0018639906293643285,0.0001238906158489886,0.00013515339910798757,0.00010699644096049016,0.002162454385727801,0.00016331035725548497,0.0007883948281299275,0.000619453079244943,0.0009010226607199171,0.00016894174888498447,0.00020273009866198134,0.00016331035725548497,0.00025341262332747666,2.2525566517997927e-05,0.00020273009866198134,5.6313916294994816e-05,7.883948281299275e-05,5.631391629499482e-06,5.631391629499482e-06,5.631391629499482e-06,1.6894174888498446e-05,1.1262783258998964e-05,5.631391629499482e-06
ã,0.05465643529822114,0.11023718172305545,0.08596674805255203,0.055563306592256716,0.029240785955121498,0.03928031624229741,0.03489710498779212,0.0501511452156726,0.01785257528194396,0.01391698639693059,0.15175560981281247,0.0401464945936519,0.02420648761771887,0.007952563655388909,0.06899779095454017,0.06395767933961168,0.023351935821416113,0.03725729566329496,0.009894198349029182,0.005691198697825834,0.0007789791884664573,0.00011045227299151262,0.008981513777467736,0.006574816881757935,0.0034995930705731893,0.007580513893733287,0.005377281711428904,0.005981862574119289,0.00819672131147541,6.975933031042901e-05,0.00597604929659342,0.0005348215323799559,0.0009243111266131845,0.005109870945238926,0.0014649459365190093,0.001976514358795489,0.0002615974886641088,0.00029066387629345423,0.0001976514358795489,0.00013951866062085803,0.00012789210556911988,0.003848389722125334,0.00012789210556911988,0.00013951866062085803,0.00011045227299151262,0.0021741657946750376,0.00016858504825020346,0.0008080455760958029,0.0012731077781653296,0.0009301244041390535,0.00017439832577607255,0.00020927799093128707,0.00016277177072433437,0.0002615974886641088,4.650622020695268e-05,0.00020927799093128707,5.813277525869085e-05,8.138588536216719e-05,5.813277525869085e-06,5.813277525869085e-06,5.813277525869085e-06,3.487966515521451e-05,2.325311010347634e-05,1.162655505173817e-05
³,0.055317198170982566,0.11145134178881666,0.08691359185640568,0.06195267593713634,0.029562846026353836,0.039824621207668706,0.035287341459687566,0.050703513453152,0.01804920480058303,0.007035134531519989,0.15367390358868266,0.04083551773183031,0.024502486100172794,0.004020076875154279,0.0697577374725236,0.06470325485171559,0.023955896700480764,0.03767940474651182,0.010003173744901438,0.005783268487064051,0.0007875589199863647,0.00011166880208761887,0.009080436801335324,0.006647232376899839,0.0017690689172828041,0.007664006206434474,0.0054365074700551295,0.006047747228850517,0.008322264408214122,7.052766447639086e-05,0.006041869923477484,0.0005407120943189967,0.0009344915543121789,0.002586014364134332,0.0015692405345996967,0.0019982838268310745,0.00026447874178646576,0.0002938652686516286,0.00019982838268310744,0.00014105532895278172,0.0001293007182067166,0.0019453880784737814,0.0001293007182067166,0.00014105532895278172,0.00011166880208761887,0.0022039895148872144,0.00017044185581794458,0.0008169454468515275,0.000646503591033583,0.0009403688596852115,0.00017631916119097715,0.0002115829934291726,0.00016456455044491203,0.00026447874178646576,2.350922149213029e-05,0.0002115829934291726,5.877305373032572e-05,8.228227522245601e-05,5.877305373032572e-06,5.877305373032572e-06,5.877305373032572e-06,1.7631916119097715e-05,1.1754610746065144e-05,5.877305373032572e-06
