,r,e,a,n,u,d,c,i,ã,³, ,l,p,­,o,s,m,t,",",v,1,7,b,y,±,q,h,.,g,"""",f,2,0,¡,x,z,(,),k,â,¿,©,?,4,3,j,6,-,º,9,8,:,;,5,¤,/,w,%,!,[,],‰,¼,š
r,0.022229312912146353,0.20187194213997023,0.1833652414379919,0.00574345883854499,0.023611997447351627,0.017336736864496917,0.012656881514571368,0.09380982769623485,0.04222505849819187,0.0,0.13146139119336311,0.015634971282705808,0.0014890448840672197,0.0,0.12507977026164646,0.009572431397574984,0.032333546054031055,0.03733248245054244,0.008934269304403318,0.005956179536268879,0.0,0.0,0.0009572431397574984,0.00010636034886194426,0.0,0.0042544139544777706,0.0,0.008402467560093597,0.01074239523505637,0.00010636034886194426,0.0005318017443097213,0.0,0.0,0.0,0.0,0.0024462880238247183,0.0,0.00021272069772388852,0.00010636034886194426,0.0,0.0,0.0,0.0,0.0,0.0,0.0008508827908955541,0.0,0.00010636034886194426,0.0,0.0,0.0,0.0005318017443097213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,0.08041976480514687,0.0008964826240573749,0.012972630912830248,0.16627115962664135,0.008384749248536624,0.016294890049042873,0.0440858513948215,0.0008964826240573749,0.012498022464799873,0.0,0.25908347835258133,0.07314243526868111,0.004746084480303749,0.0,0.008806623424563623,0.17497231450719822,0.03158782893002162,0.014132784896904498,0.013025365184833623,0.007804672256499499,0.0,0.0,0.009281231872594,0.0,0.0,0.0026894478721721246,0.00010546854400674998,0.0034804619522227497,0.025417919105626748,0.0,0.0073300638084691245,0.0,0.0,0.0,0.010757791488688499,0.002900384960185625,0.0,0.00026367136001687497,0.0,0.0,0.0,0.0,0.00015820281601012498,0.0,0.0,0.006644518272425249,0.0,0.00047460844803037496,0.0,0.0,0.0,0.00026367136001687497,0.00015820281601012498,0.0,0.0,5.273427200337499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.11008926156342981,0.001149580741141466,0.0,0.0749256153638085,0.007370841222612929,0.07837435758723289,0.058628617798214766,0.0002028671896131999,0.009264268325669461,0.0,0.2934812009737625,0.06971869083040302,0.013524479307546659,0.0,0.0002704895861509332,0.12354611847443873,0.05132539897213957,0.02292399242629159,0.016094130375980526,0.005004057343792264,0.0,0.0,0.021368677305923723,0.009602380308358128,0.0,0.0016905599134433324,0.002028671896131999,0.01129294022180146,0.004868812550716798,6.76223965377333e-05,0.001825804706518799,0.0,0.0,0.0,0.0,0.004260210981877198,0.0,0.0002704895861509332,0.0002028671896131999,0.0,0.0,0.0,0.0002028671896131999,0.0,0.0,0.005139302136867731,0.0,0.0004057343792263998,0.0,0.0,0.0,0.0002704895861509332,6.76223965377333e-05,0.0005409791723018664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n,0.00010462439840970915,0.07334170328520612,0.0788867964009207,0.0011508683825068005,0.015379786566227243,0.05733417032852061,0.06172839506172839,0.043000627746390456,0.008788449466415568,0.0,0.2984934086629002,0.0004184975936388366,0.0,0.0,0.06622724419334589,0.03902490060682151,0.005126595522075748,0.18863779033270558,0.013810420590081607,0.004394224733207784,0.0,0.0,0.00010462439840970915,0.0,0.0,0.002301736765013601,0.0002092487968194183,0.008369951872776732,0.00732370788867964,0.00010462439840970915,0.01956476250261561,0.0,0.0,0.0,0.0,0.002824858757062147,0.0,0.0002092487968194183,0.00031387319522912746,0.00010462439840970915,0.0,0.0,0.00031387319522912746,0.0,0.0,0.001360117179326219,0.0,0.0005231219920485457,0.0,0.0,0.0,0.0005231219920485457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u,0.10198807157057654,0.33836978131212725,0.03996023856858847,0.18131212723658052,0.00019880715705765408,0.021272365805168985,0.05009940357852883,0.04592445328031809,0.011928429423459244,0.0,0.024652087475149104,0.03399602385685885,0.019284294234592447,0.0,0.0007952286282306163,0.041749502982107355,0.01709741550695825,0.02147117296222664,0.0007952286282306163,0.0019880715705765406,0.0,0.0,0.009940357852882704,0.018489065606361828,0.0,0.0,0.0,0.0,0.009145129224652087,0.00019880715705765408,0.0031809145129224653,0.0,0.0,0.0,0.00019880715705765408,0.002385685884691849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003379721669980119,0.0,0.0,0.0,0.0,0.0,0.0,0.00019880715705765408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d,0.006955749593014651,0.5062897735681515,0.14163090128755365,0.0,0.01613141926890632,0.0001479946721918011,0.0,0.08450495782151843,0.008287701642740862,0.0,0.03492674263726506,0.0001479946721918011,0.0,0.0,0.1869172709782448,0.0001479946721918011,0.0020719254106852155,0.001627941394109812,0.003995856149178629,0.0005919786887672044,0.0,0.0,0.0001479946721918011,0.0,0.0,0.0007399733609590055,0.0002959893443836022,0.003403877460411425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002959893443836022,0.0001479946721918011,0.0,0.0,0.0,0.0,0.0,0.0,0.0001479946721918011,0.0,0.0001479946721918011,0.0,0.0,0.0,0.0001479946721918011,0.0001479946721918011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c,0.024321172746959854,0.07946026986506746,0.13459936698317507,0.002332167249708479,0.07746126936531735,0.0,0.008828918873896386,0.27669498584041313,0.013160086623354989,0.0,0.0004997501249375312,0.019490254872563718,0.0,0.0,0.26070298184241214,0.0,0.0,0.0682991837414626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031151091121106114,0.0004997501249375312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003331667499583542,0.0001665833749791771,0.0006663334999167084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013326669998334167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.028399211776979252,0.08345890807928596,0.0759244233221282,0.09586182914106874,0.0034774545033035816,0.09551408369073838,0.09377535643908659,0.0002318303002202388,0.12854990147212242,0.0,0.01703952706618755,0.01518488466442564,0.008461805958038715,0.0,0.09284803523820563,0.07615625362234844,0.04161353888953286,0.04022255708821143,0.0008114060507708358,0.03361539353193462,0.0,0.0,0.014605308913875044,0.0,0.0,0.0010432363509910744,0.0,0.0002318303002202388,0.02098064216993161,0.0,0.01588037556508636,0.0,0.0,0.0,0.0,0.014141648313434566,0.0,0.0,0.000579575750550597,0.0,0.0,0.0,0.0,0.0,0.0,0.001159151501101194,0.0,0.0001159151501101194,0.0,0.0,0.0,0.0,0.0001159151501101194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ã,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38977531748616084,0.0,0.0,0.0,0.22272875284923477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09801367632692934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429501790947574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10778248127645718,0.0,0.0,0.0,0.0,0.0,0.0,0.035493324649951155,0.0,0.0,0.0,0.0,0.0,0.0013025073266037122,0.0,0.0,0.0,0.0,0.0,0.0,0.0009768804949527841,0.0006512536633018561,0.00032562683165092806
³,0.00835421888053467,0.0,0.0,0.8212197159565581,0.0,0.015873015873015872,0.000835421888053467,0.0,0.0,0.0,0.03508771929824561,0.03508771929824561,0.004177109440267335,0.0,0.0,0.005847953216374269,0.04928989139515455,0.001670843776106934,0.0,0.004177109440267335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005012531328320802,0.0,0.0,0.0,0.0,0.0,0.012531328320802004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000835421888053467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
