,r,e,a,n,u,d,c,i,ã,³, ,l,p,­,o,s,m,t,",",v,1,7,b,y,±,q,h,.,g,"""",f,2,0,¡,x,z,(,),k,â,¿,©,?,4,3,j,6,-,º,9,8,:,;,5,¤,/,w,%,!,[,],‰,¼,š
"('r', 'e')",0.03869060854751145,0.07139118565676539,0.057365412443255485,0.039607415186833556,0.02371381949171966,0.029710692770569133,0.027938656057252518,0.03604281623842445,0.017005394791306756,0.010587748316051982,0.0967607305717384,0.030285407380293446,0.020881297486649856,0.008832816204215258,0.047198437323608795,0.04582322736462563,0.02037158036254913,0.028650207478815942,0.012332417667000778,0.009971982662775939,0.006951310041427344,0.006557904207389872,0.011778228579052334,0.010361967576517434,0.007522603730855675,0.011022205193641194,0.00965725799554596,0.010016454626623653,0.012062164963618512,0.006533957765318025,0.010235393525566247,0.006807631388996266,0.007036833048826794,0.007998111651996619,0.007354978636352751,0.007679966064470664,0.0066468481350853,0.00666395273656519,0.006609218011829542,0.006575008808869761,0.0065681669682778054,0.007625231339735015,0.0065681669682778054,0.006575008808869761,0.006557904207389872,0.0077723309124620695,0.006592113410349651,0.006968414642907234,0.006869207954323871,0.007040253969122773,0.00659553433064563,0.006616059852421498,0.006592113410349652,0.0066468481350853,0.0065065904029502014,0.006616059852421498,0.006527115924726069,0.006540799605909981,0.006496327642062268,0.006496327642062268,0.006496327642062268,0.006503169482654223,0.006499748562358245,0.006496327642062268
"('e', 'a')",0.05229291820546234,0.10386668036487708,0.08129166914496132,0.05312562520614906,0.02854995430925873,0.03794224041440691,0.03387062761234786,0.04797798192917665,0.01793564364466121,0.007802572740200823,0.14289035844251347,0.03889390555804887,0.02384570047421042,0.005028685134017163,0.0655080864501268,0.060939012322982176,0.023072472545001325,0.03599024543227767,0.010603496287965222,0.006623805687280671,0.002054731560136045,0.001432904903779084,0.009695088650852444,0.007445698311335089,0.002957732008932675,0.008381141890028605,0.006331817518208707,0.0069536441745656685,0.008954303851540238,0.0013950545855660515,0.006888757914771898,0.0018276296508578504,0.002189911268039732,0.003709331184877176,0.0026927797814414486,0.003168612353262427,0.0015734917999989187,0.001600527741579656,0.0015140127285212962,0.0014599408453598215,0.0014491264687275264,0.0031199476584170996,0.0014491264687275264,0.0014599408453598215,0.001432904903779084,0.0033524567560114416,0.001486976786940559,0.0020817675017167823,0.0019249590405485053,0.0021953184563558792,0.0014923839752567065,0.0015248271051535912,0.0014815695986244114,0.0015734917999989187,0.0013517970790368717,0.0015248271051535912,0.0013842402089337565,0.0014058689621983466,0.0013355755140884292,0.0013355755140884292,0.0013355755140884292,0.0013463898907207243,0.0013409827024045769,0.0013355755140884292
"('a', 'n')",0.04361556880760596,0.08346716797596371,0.06617033726329942,0.044262954985911054,0.025513655283459693,0.0330913934987488,0.030032908797397177,0.04054878428345555,0.017417178143246642,0.00956554577559769,0.11401466578688545,0.03325738995472447,0.021878332897592636,0.007436641227709788,0.054019396685880745,0.05067041818657172,0.02128489556747963,0.03232365988986135,0.011686150500686809,0.008660865090530316,0.0051541899580443955,0.004676950147114359,0.011009714942585975,0.009291651623237843,0.005847225161742796,0.010030335852329552,0.00843676987496317,0.008868360660499897,0.010466076549265672,0.0046479007673186174,0.008864210749100506,0.004979893679269948,0.005257937743029186,0.006424062846258232,0.005643879503172607,0.006100369757105685,0.004784847843498541,0.0048055974004955,0.004751648552303408,0.004697699704111317,0.004689399881312534,0.005971722503724545,0.004689399881312534,0.004697699704111317,0.004676950147114359,0.006154318605297777,0.004718449261108275,0.005174939515041353,0.005054592084458997,0.005262087654428578,0.004722599172507667,0.004747498640904017,0.004714299349708883,0.004784847843498541,0.004614701476123484,0.004747498640904017,0.004639600944519834,0.004656200590117401,0.004602251741925309,0.004602251741925309,0.004602251741925309,0.004610551564724093,0.004606401653324701,0.004602251741925309
"('n', 'u')",0.05349459956079416,0.10766145296463946,0.08374042038273652,0.054402142248913196,0.029002151212297763,0.038710617129027916,0.03446421368708825,0.04916416438847308,0.018033209339846725,0.007529243042172725,0.14706673239815354,0.03951171962533053,0.024150719311612067,0.004655357863129118,0.06731501815085376,0.062457984134809304,0.023349616815309462,0.036755478868820864,0.010358311298346256,0.00630798189396316,0.0015741944158114104,0.0009299511495540718,0.00947877918702102,0.0071595034284946,0.0025097476807242414,0.008128669385559988,0.006005467664590149,0.006588087661901134,0.008722493613588492,0.0008907363420427554,0.006582485546542375,0.0013389055707435126,0.0017142472997803972,0.0032884417155918076,0.002235244028145028,0.0027282301797158606,0.001075606148881818,0.001103616725675615,0.0010139828799354635,0.000957961726347869,0.0009467574956303501,0.002677811141487025,0.0009467574956303501,0.000957961726347869,0.0009299511495540718,0.002918702101913683,0.0009859723031416664,0.0016022049926052077,0.0014397436472011831,0.0017198494151391566,0.0009915744185004258,0.0010251871106529828,0.0009803701877829068,0.001075606148881818,0.0008459194191726797,0.0010251871106529828,0.0008795321113252365,0.0009019405727602743,0.0008291130730964014,0.0008291130730964014,0.0008291130730964014,0.0008403173038139202,0.0008347151884551607,0.0008291130730964014
"('u', 'd')",0.05406926505366564,0.10842277605966893,0.08511460796798255,0.05494474258686557,0.029203429143169004,0.039021284336911044,0.03473485537565946,0.04972030198289977,0.018066672730580317,0.007413134436965619,0.14904152264871748,0.03986833727487721,0.024280289248681104,0.004496770965981446,0.06811670001819174,0.06315376569037658,0.023444606148808445,0.037042932508641074,0.010295388393669273,0.0061738220847735135,0.0013700654902674186,0.0007162997998908496,0.009391486265235584,0.007037929779879936,0.0023194469710751324,0.008021420774968166,0.005866836456248864,0.006463752956157905,0.00862402219392396,0.0006765053665635803,0.006452383118064399,0.0011312988903038022,0.001512188466436238,0.0031096507185737676,0.002040885937784246,0.0025411588138984907,0.0008641076951064218,0.0008925322903401856,0.0008015735855921413,0.0007447243951246135,0.000733354557031108,0.0024899945424777157,0.000733354557031108,0.0007447243951246135,0.0007162997998908496,0.0027344460614880843,0.0007731489903583773,0.0013984900855011828,0.0012336274331453522,0.001517873385482991,0.0007788339094051301,0.0008129434236856468,0.0007674640713116246,0.0008641076951064218,0.0006310260141895581,0.0008129434236856468,0.0006651355284700747,0.0006878752046570857,0.0006139712570492998,0.0006139712570492998,0.0006139712570492998,0.0006253410951428053,0.0006196561760960525,0.0006139712570492998
"('d', 'a')",0.04503491179040813,0.08617631535686167,0.06811476331796118,0.04567517758723622,0.02590048192979572,0.035067530737084365,0.030166036495150424,0.041461536464867575,0.017442916843316576,0.009318463015997994,0.11789975514159391,0.03403791411786082,0.02216704015504815,0.007099163328343875,0.055486818311601786,0.0523936423336823,0.02173010200991547,0.03190513683518347,0.011585350026389333,0.00840997776374192,0.004719797191482735,0.0042222933628663145,0.010832605103091445,0.009032939079574656,0.005442259273038754,0.009781357882623706,0.008141758308313938,0.008643588257179197,0.01023992662900058,0.004192010521124445,0.008587348693944298,0.0045381001410315204,0.0048279501977036956,0.006043589987627296,0.00523027938084567,0.005610977962743452,0.004334772489336114,0.004360729210829145,0.004300163527345406,0.004243923964110507,0.00423527172361283,0.005572042880503907,0.00423527172361283,0.004243923964110507,0.0042222933628663145,0.0057580660512039595,0.004265554565354699,0.004741427792726927,0.004615970305510612,0.004832276317952534,0.004269880685603538,0.004295837407096568,0.00426122844510586,0.004334772489336114,0.004157401559133737,0.004295837407096568,0.004183358280626768,0.004200662761622123,0.004144423198387222,0.004144423198387222,0.004144423198387222,0.0041530754388849,0.004148749318636061,0.004144423198387222
"('a', 'c')",0.04559617228278238,0.08847157618151476,0.06960373539750737,0.04627081631928417,0.026333309661612753,0.033838724567695204,0.03058534247061748,0.04475286723715514,0.017496360472960975,0.00916095586407698,0.11971380889819977,0.03452224549941413,0.022329829918687642,0.006884032240883429,0.056616837694847856,0.0526799346660512,0.02167737812022867,0.032538259418385826,0.011402371906402017,0.008193374285409935,0.004442886056172993,0.003932464581188084,0.010705535631857402,0.008868018321911728,0.005184106806803253,0.009635869758193374,0.00795813656215602,0.008415296665838156,0.010106345204701205,0.0039013954479281327,0.008410858218229593,0.004256471256613287,0.004553847246387104,0.005801051024393708,0.004966622873983596,0.005357206263537266,0.004047864219010759,0.0040700564570535815,0.004007918190533679,0.003954656819230906,0.003945779924013777,0.005317260235060186,0.003945779924013777,0.003954656819230906,0.003932464581188084,0.005508113482228455,0.0039768490572737285,0.004465078294215815,0.004336363313567447,0.004558285693995668,0.003981287504882292,0.004007918190533679,0.003972410609665164,0.004047864219010759,0.0038658878670596174,0.004007918190533679,0.003892518552711004,0.003910272343145262,0.003852572524233924,0.003852572524233924,0.003852572524233924,0.003861449419451053,0.003857010971842489,0.003852572524233924
"('c', 'i')",0.040135204431700815,0.07481022989086865,0.06089255147807623,0.04057577442816181,0.0242710733296258,0.030569057541330512,0.02768729641693811,0.03715232888189112,0.018984233372093862,0.010320893851520688,0.10026939771914745,0.030984348931437197,0.02120513950179478,0.008468333128696996,0.049936081238218355,0.04591317159840239,0.020594841719811924,0.029279848617260223,0.012144564738510872,0.009533645825057599,0.0064821569151433285,0.006066865525036653,0.011592046628195032,0.010082552705894247,0.007085232238167806,0.010707295405793855,0.00933863943318142,0.009714207299017022,0.011090085730587835,0.006041586918682334,0.009735874675892153,0.006330485277017412,0.006572437652123041,0.007587193135775005,0.00690828199368757,0.007226070187856157,0.006160757491495554,0.006178813638891496,0.006121033967224481,0.006084921672432596,0.006077699213474219,0.007193569122543461,0.006077699213474219,0.006084921672432596,0.006066865525036653,0.007348851990148565,0.006102977819828537,0.006500213062539272,0.006395487407642805,0.00657604888160223,0.006106589049307726,0.0061282564261828576,0.00609936659034935,0.006160757491495554,0.006012697082848827,0.0061282564261828576,0.006034364459723957,0.006048809377640711,0.006001863394411261,0.006001863394411261,0.006001863394411261,0.006009085853369638,0.006005474623890448,0.006001863394411261
"('i', 'ã')",0.043607955724088716,0.08327455877594032,0.06595335097952985,0.04425516732079291,0.02546943584722487,0.03263440012612328,0.029506210742052983,0.04039264170200054,0.01734195175784329,0.013612187492221012,0.11290523328659025,0.033252570176821525,0.02187658172705925,0.007438784569811727,0.05384302629504551,0.05024602338259332,0.02126670926093414,0.031190620410398526,0.011662255117535283,0.008662678294348514,0.005156948812200768,0.004679837699245748,0.01101089472854452,0.009293294721906452,0.005849797124057186,0.010011035787482263,0.008438643510873985,0.008870117908676783,0.010450807769858194,0.004650796153239791,0.008865969116390216,0.004982699536165022,0.005260668619364902,0.0064306280441763395,0.005646506302015483,0.006011600023233235,0.004787706298696449,0.0048084502601292755,0.004742069583544229,0.004700581660678576,0.0046922840761054446,0.006526050266767343,0.0046922840761054446,0.004700581660678576,0.004679837699245748,0.006152658960976458,0.0047213256221114025,0.005177692773633594,0.005057377797323199,0.005264817411651467,0.004725474414397968,0.0047503671681173604,0.004717176829824837,0.004787706298696449,0.004617605814947268,0.0047503671681173604,0.00464249856866666,0.004659093737812922,0.004605159438087572,0.004605159438087572,0.004605159438087572,0.004613457022660703,0.004609308230374138,0.004605159438087572
"('ã', '³')",0.04299423717548652,0.08170080322912698,0.06478111803658705,0.04756964426108594,0.025235659806933222,0.03231153294374154,0.02918291091532458,0.03981293109736823,0.017296578778864778,0.00970197038345883,0.11081481961791906,0.03300858344748211,0.02174635466902259,0.007622976729860509,0.05295152256903637,0.04946627005033353,0.02136946108269775,0.03083232693289673,0.011748543083394798,0.008838762492198707,0.005394036165573811,0.004927984956677501,0.011112281867771141,0.009434497515744426,0.006070823573275408,0.010135600638692788,0.008599657958938862,0.009021130356549438,0.010589493989965715,0.004899616622222943,0.009017077737341644,0.005223826158846463,0.005495351645768661,0.006634137643158774,0.005933034520210412,0.006228875722379374,0.005033353056080145,0.005053616152119115,0.004988774244794411,0.004948248052716471,0.004940142814300883,0.0061924021495092275,0.004940142814300883,0.004948248052716471,0.004927984956677501,0.006370717394652164,0.004968511148755441,0.00541429926161278,0.0052967733045867545,0.005499404264976454,0.004972563767963235,0.004996879483209999,0.004964458529547647,0.005033353056080145,0.004867195668560591,0.004996879483209999,0.004891511383807355,0.004907721860638531,0.004855037810937208,0.004855037810937208,0.004855037810937208,0.004863143049352797,0.004859090430145003,0.004855037810937208
